Booking entry for user: Made, room: {type: {type, name: Suite Room, bedType: Queen, maxOccupancy: 4, price: 1000.0, paymentType: Digital Wallet, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2024-12-30, check-out: 2024-12-31, is check-out: true
Booking entry for user: Made, room: {type: {type, name: Deluxe Room, bedType: King, maxOccupancy: 2, price: 500.0, paymentType: Credit Card, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2024-12-30, check-out: 2024-12-31, is check-out: true
Booking entry for user: Admin, room: {type: {type, name: Deluxe Room, bedType: King, maxOccupancy: 2, price: 500.0, paymentType: Credit Card, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2024-12-30, check-out: 2024-12-31, is check-out: true
Booking entry for user: Made, room: {type: {type, name: Suite Room, bedType: Queen, maxOccupancy: 4, price: 1000.0, paymentType: Digital Wallet, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Made, room: {type: {type, name: Deluxe Room, bedType: King, maxOccupancy: 2, price: 500.0, paymentType: Credit Card, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Made, room: {type: {type, name: Deluxe Room, bedType: King, maxOccupancy: 2, price: 500.0, paymentType: Credit Card, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Made, room: {type: {type, name: Deluxe Room, bedType: King, maxOccupancy: 2, price: 500.0, paymentType: Credit Card, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Admin, room: {type: {type, name: Deluxe Room, bedType: King, maxOccupancy: 2, price: 500.0, paymentType: Credit Card, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Admin, room: {type: {type, name: Deluxe Room, bedType: King, maxOccupancy: 2, price: 500.0, paymentType: Credit Card, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Made, room: {type: {type, name: Suite Room, bedType: Queen, maxOccupancy: 4, price: 1000.0, paymentType: Digital Wallet, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Made, room: {type: {type, name: Suite Room, bedType: Queen, maxOccupancy: 4, price: 1000.0, paymentType: Digital Wallet, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Made, room: {type: Suite, name: Suite Room, bedType: Queen, maxOccupancy: 4, price: 1080.0, paymentType: Digital Wallet, available: true, state: Room is available for booking, addOns: [Extra Bed, Breakfast Service], addOnPrice: 80.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
Booking entry for user: Made, room: {type: Suite, name: Suite Room, bedType: Queen, maxOccupancy: 4, price: 1000.0, paymentType: Digital Wallet, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-01, check-out: 2025-01-02, is check-out: true
Booking entry for user: Made, room: {type: Suite, name: Suite Room, bedType: Queen, maxOccupancy: 4, price: 1000.0, paymentType: Digital Wallet, available: true, state: Room is available for booking, addOns: [], addOnPrice: 0.0}, paymentStatus: Pending, check-in: 2025-01-03, check-out: 2025-01-05, is check-out: true
